DATE,VALUE,CODE
2022-07-01,953356,AL
2022-10-01,939384,AL
2023-01-01,978604,AL
2023-04-01,979884,AL
2023-07-01,1014252,AL
2023-10-01,1052008,AL
2024-01-01,1027791,AL
2024-04-01,1043745,AL
2024-07-01,1053053,AL
2024-10-01,1063120,AL
1998-01-01,50384,AK
1998-04-01,51184,AK
1998-07-01,52240,AK
1998-10-01,54144,AK
1999-01-01,58256,AK
1999-04-01,59576,AK
1999-07-01,58056,AK
1999-10-01,59412,AK
2000-01-01,60320,AK
2000-04-01,58652,AK
2000-07-01,63700,AK
2000-10-01,62812,AK
2001-01-01,68144,AK
2001-04-01,67028,AK
2001-07-01,70836,AK
2001-10-01,73608,AK
2002-01-01,77476,AK
2002-04-01,79360,AK
2002-07-01,80592,AK
2002-10-01,84764,AK
2003-01-01,78160,AK
2003-04-01,81832,AK
2003-07-01,82052,AK
2003-10-01,79024,AK
2004-01-01,79544,AK
2004-04-01,81228,AK
2004-07-01,79916,AK
2004-10-01,82164,AK
2005-01-01,81864,AK
2005-04-01,82048,AK
2005-07-01,83232,AK
2005-10-01,84492,AK
2006-01-01,85240,AK
2006-04-01,85912,AK
2006-07-01,88208,AK
2006-10-01,87456,AK
2007-01-01,88548,AK
2007-04-01,90344,AK
2007-07-01,88644,AK
2007-10-01,85300,AK
2008-01-01,87164,AK
2008-04-01,87292,AK
2008-07-01,89528,AK
2008-10-01,89180,AK
2009-01-01,86932,AK
2009-04-01,84680,AK
2009-07-01,87220,AK
2009-10-01,89712,AK
2010-01-01,89960,AK
2010-04-01,89608,AK
2010-07-01,88820,AK
2010-10-01,92456,AK
2011-01-01,92912,AK
2011-04-01,92396,AK
2011-07-01,87556,AK
2011-10-01,91588,AK
2012-01-01,92216,AK
2012-04-01,93944,AK
2012-07-01,95604,AK
2012-10-01,95332,AK
2013-01-01,101032,AK
2013-04-01,97300,AK
2013-07-01,98700,AK
2013-10-01,95440,AK
2014-01-01,94116,AK
2014-04-01,94896,AK
2014-07-01,96724,AK
2014-10-01,97728,AK
2015-01-01,96932,AK
2015-04-01,97312,AK
2015-07-01,94296,AK
2015-10-01,97392,AK
2016-01-01,95900,AK
2016-04-01,98196,AK
2016-07-01,101468,AK
2016-10-01,99008,AK
2017-01-01,105560,AK
2017-04-01,104668,AK
2017-07-01,104600,AK
2017-10-01,104080,AK
2018-01-01,104040,AK
2018-04-01,105984,AK
2018-07-01,105576,AK
2018-10-01,106916,AK
2019-01-01,107404,AK
2019-04-01,108196,AK
2019-07-01,110264,AK
2019-10-01,111872,AK
2020-01-01,109088,AK
2020-04-01,102320,AK
2020-07-01,105436,AK
2020-10-01,121060,AK
2021-01-01,113676,AK
2021-04-01,121612,AK
2021-07-01,122856,AK
2021-10-01,123124,AK
2022-01-01,129484,AK
2022-04-01,134156,AK
2022-07-01,139100,AK
2022-10-01,133804,AK
2023-01-01,140156,AK
2023-04-01,139252,AK
2023-07-01,141484,AK
2023-10-01,149924,AK
2024-01-01,147502,AK
2024-04-01,142255,AK
2024-07-01,145898,AK
2024-10-01,146371,AK
1998-01-01,478964,AZ
1998-04-01,498404,AZ
1998-07-01,544108,AZ
1998-10-01,531788,AZ
1999-01-01,515460,AZ
1999-04-01,540908,AZ
1999-07-01,518764,AZ
1999-10-01,559640,AZ
2000-01-01,598956,AZ
2000-04-01,630352,AZ
2000-07-01,629392,AZ
2000-10-01,653072,AZ
2001-01-01,633276,AZ
2001-04-01,647320,AZ
2001-07-01,700500,AZ
2001-10-01,736840,AZ
2002-01-01,793440,AZ
2002-04-01,837708,AZ
2002-07-01,846648,AZ
2002-10-01,886500,AZ
2003-01-01,892704,AZ
2003-04-01,943504,AZ
2003-07-01,936416,AZ
2003-10-01,1023052,AZ
2004-01-01,1079508,AZ
2004-04-01,1122888,AZ
2004-07-01,1196760,AZ
2004-10-01,1231292,AZ
2005-01-01,1236052,AZ
2005-04-01,1260488,AZ
2005-07-01,1300348,AZ
2005-10-01,1307444,AZ
2006-01-01,1343148,AZ
2006-04-01,1384148,AZ
2006-07-01,1383012,AZ
2006-10-01,1381124,AZ
2007-01-01,1419392,AZ
2007-04-01,1474376,AZ
2007-07-01,1477468,AZ
2007-10-01,1563888,AZ
2008-01-01,1595320,AZ
2008-04-01,1640504,AZ
2008-07-01,1700656,AZ
2008-10-01,1756576,AZ
2009-01-01,1773996,AZ
2009-04-01,1796460,AZ
2009-07-01,1847700,AZ
2009-10-01,1959280,AZ
2010-01-01,1958616,AZ
2010-04-01,2014864,AZ
2010-07-01,2091416,AZ
2010-10-01,2100956,AZ
2011-01-01,2059852,AZ
2011-04-01,2141764,AZ
2011-07-01,2248608,AZ
2011-10-01,2205180,AZ
2012-01-01,2294548,AZ
2012-04-01,2364260,AZ
2012-07-01,2298568,AZ
2012-10-01,2325148,AZ
2013-01-01,2289804,AZ
2013-04-01,2322704,AZ
2013-07-01,2282864,AZ
2013-10-01,2309240,AZ
2014-01-01,2336228,AZ
2014-04-01,2335284,AZ
2014-07-01,2388892,AZ
2014-10-01,2432772,AZ
2015-01-01,2410580,AZ
2015-04-01,2427052,AZ
2015-07-01,2452540,AZ
2015-10-01,2515244,AZ
2016-01-01,2424444,AZ
2016-04-01,2506452,AZ
2016-07-01,2563684,AZ
2016-10-01,2553228,AZ
2017-01-01,2671292,AZ
2017-04-01,2681100,AZ
2017-07-01,2692940,AZ
2017-10-01,2605940,AZ
2018-01-01,2717004,AZ
2018-04-01,2677596,AZ
2018-07-01,2689040,AZ
2018-10-01,2799680,AZ
2019-01-01,2859236,AZ
2019-04-01,2891088,AZ
2019-07-01,2875064,AZ
2019-10-01,2921376,AZ
2020-01-01,2939612,AZ
2020-04-01,2859916,AZ
2020-07-01,2966296,AZ
2020-10-01,3252492,AZ
2021-01-01,3083588,AZ
2021-04-01,3292128,AZ
2021-07-01,3239424,AZ
2021-10-01,3391040,AZ
2022-01-01,3286628,AZ
2022-04-01,3423384,AZ
2022-07-01,3576932,AZ
2022-10-01,3505108,AZ
2023-01-01,3455516,AZ
2023-04-01,3488076,AZ
2023-07-01,3518132,AZ
2023-10-01,3494656,AZ
2024-01-01,3662491,AZ
2024-04-01,3662045,AZ
2024-07-01,3679559,AZ
2024-10-01,3754912,AZ
1998-01-01,157904,AR
1998-04-01,158924,AR
1998-07-01,163888,AR
1998-10-01,165116,AR
1999-01-01,167880,AR
1999-04-01,173728,AR
1999-07-01,174468,AR
1999-10-01,178524,AR
2000-01-01,180888,AR
2000-04-01,187228,AR
2000-07-01,193104,AR
2000-10-01,198260,AR
2001-01-01,188152,AR
2001-04-01,196876,AR
2001-07-01,206784,AR
2001-10-01,217900,AR
2002-01-01,230932,AR
2002-04-01,238188,AR
2002-07-01,239404,AR
2002-10-01,240100,AR
2003-01-01,249824,AR
2003-04-01,255028,AR
2003-07-01,256184,AR
2003-10-01,260992,AR
2004-01-01,259224,AR
2004-04-01,258052,AR
2004-07-01,264988,AR
2004-10-01,265804,AR
2005-01-01,267160,AR
2005-04-01,271804,AR
2005-07-01,274164,AR
2005-10-01,281592,AR
2006-01-01,293504,AR
2006-04-01,297968,AR
2006-07-01,305084,AR
2006-10-01,304376,AR
2007-01-01,312424,AR
2007-04-01,315260,AR
2007-07-01,316064,AR
2007-10-01,334708,AR
2008-01-01,317672,AR
2008-04-01,332800,AR
2008-07-01,352256,AR
2008-10-01,362184,AR
2009-01-01,371820,AR
2009-04-01,371588,AR
2009-07-01,374828,AR
2009-10-01,377956,AR
2010-01-01,390720,AR
2010-04-01,390556,AR
2010-07-01,396364,AR
2010-10-01,397496,AR
2011-01-01,422896,AR
2011-04-01,417508,AR
2011-07-01,417172,AR
2011-10-01,415620,AR
2012-01-01,409492,AR
2012-04-01,410884,AR
2012-07-01,413616,AR
2012-10-01,441404,AR
2013-01-01,425844,AR
2013-04-01,453128,AR
2013-07-01,452716,AR
2013-10-01,468004,AR
2014-01-01,456948,AR
2014-04-01,463892,AR
2014-07-01,463868,AR
2014-10-01,461268,AR
2015-01-01,457200,AR
2015-04-01,454220,AR
2015-07-01,462868,AR
2015-10-01,470580,AR
2016-01-01,489416,AR
2016-04-01,495960,AR
2016-07-01,497524,AR
2016-10-01,496040,AR
2017-01-01,501620,AR
2017-04-01,499516,AR
2017-07-01,494848,AR
2017-10-01,505248,AR
2018-01-01,516696,AR
2018-04-01,530692,AR
2018-07-01,535640,AR
2018-10-01,540388,AR
2019-01-01,556440,AR
2019-04-01,550100,AR
2019-07-01,561036,AR
2019-10-01,555816,AR
2020-01-01,577244,AR
2020-04-01,554144,AR
2020-07-01,554528,AR
2020-10-01,568932,AR
2021-01-01,586684,AR
2021-04-01,598368,AR
2021-07-01,598240,AR
2021-10-01,610016,AR
2022-01-01,607688,AR
2022-04-01,612256,AR
2022-07-01,640240,AR
2022-10-01,651480,AR
2023-01-01,670024,AR
2023-04-01,668460,AR
2023-07-01,663616,AR
2023-10-01,687296,AR
2024-01-01,696278,AR
2024-04-01,722949,AR
2024-07-01,713540,AR
2024-10-01,729619,AR
1998-01-01,5421296,CA
1998-04-01,5583716,CA
1998-07-01,5633660,CA
1998-10-01,5726280,CA
1999-01-01,5871012,CA
1999-04-01,6076888,CA
1999-07-01,6027404,CA
1999-10-01,6235060,CA
2000-01-01,6402584,CA
2000-04-01,6507272,CA
2000-07-01,6768940,CA
2000-10-01,6661004,CA
2001-01-01,6980644,CA
2001-04-01,7177056,CA
2001-07-01,7464448,CA
2001-10-01,7669856,CA
2002-01-01,7889568,CA
2002-04-01,8205812,CA
2002-07-01,8333948,CA
2002-10-01,8481328,CA
2003-01-01,8613428,CA
2003-04-01,8780976,CA
2003-07-01,9024784,CA
2003-10-01,9301060,CA
2004-01-01,9332780,CA
2004-04-01,9516568,CA
2004-07-01,9640104,CA
2004-10-01,9640128,CA
2005-01-01,9862452,CA
2005-04-01,9915248,CA
2005-07-01,9970520,CA
2005-10-01,10216408,CA
2006-01-01,10504348,CA
2006-04-01,10714748,CA
2006-07-01,10913892,CA
2006-10-01,11001528,CA
2007-01-01,11173700,CA
2007-04-01,11298740,CA
2007-07-01,11471008,CA
2007-10-01,11775612,CA
2008-01-01,12004256,CA
2008-04-01,12194400,CA
2008-07-01,12500604,CA
2008-10-01,12775536,CA
2009-01-01,12836772,CA
2009-04-01,13013484,CA
2009-07-01,13223592,CA
2009-10-01,13279368,CA
2010-01-01,13703140,CA
2010-04-01,13802424,CA
2010-07-01,14061804,CA
2010-10-01,14070700,CA
2011-01-01,14579104,CA
2011-04-01,14727244,CA
2011-07-01,14764612,CA
2011-10-01,14712468,CA
2012-01-01,15390004,CA
2012-04-01,15510804,CA
2012-07-01,15680992,CA
2012-10-01,15898768,CA
2013-01-01,15752104,CA
2013-04-01,16167556,CA
2013-07-01,16347224,CA
2013-10-01,16686004,CA
2014-01-01,16918216,CA
2014-04-01,17137544,CA
2014-07-01,17453300,CA
2014-10-01,17855156,CA
2015-01-01,17721320,CA
2015-04-01,17769256,CA
2015-07-01,18015316,CA
2015-10-01,18116108,CA
2016-01-01,18528960,CA
2016-04-01,18665572,CA
2016-07-01,18909488,CA
2016-10-01,18991172,CA
2017-01-01,19520284,CA
2017-04-01,19838732,CA
2017-07-01,19874792,CA
2017-10-01,20171220,CA
2018-01-01,20708156,CA
2018-04-01,20960808,CA
2018-07-01,21145188,CA
2018-10-01,21551220,CA
2019-01-01,21743648,CA
2019-04-01,22042712,CA
2019-07-01,22602396,CA
2019-10-01,22989556,CA
2020-01-01,23224652,CA
2020-04-01,22299220,CA
2020-07-01,22205308,CA
2020-10-01,22788960,CA
2021-01-01,23062828,CA
2021-04-01,23616324,CA
2021-07-01,23721652,CA
2021-10-01,24224076,CA
2022-01-01,24370752,CA
2022-04-01,24927480,CA
2022-07-01,25614884,CA
2022-10-01,25961784,CA
2023-01-01,26069544,CA
2023-04-01,26051220,CA
2023-07-01,26460468,CA
2023-10-01,27234524,CA
2024-01-01,27958807,CA
2024-04-01,27981632,CA
2024-07-01,28522884,CA
2024-10-01,28767152,CA
1998-01-01,490740,CO
1998-04-01,500324,CO
1998-07-01,506100,CO
1998-10-01,522864,CO
1999-01-01,548460,CO
1999-04-01,565196,CO
1999-07-01,578104,CO
1999-10-01,603912,CO
2000-01-01,636156,CO
2000-04-01,633224,CO
2000-07-01,674908,CO
2000-10-01,701204,CO
2001-01-01,730080,CO
2001-04-01,759104,CO
2001-07-01,770696,CO
2001-10-01,777000,CO
2002-01-01,779596,CO
2002-04-01,796564,CO
2002-07-01,819736,CO
2002-10-01,837780,CO
2003-01-01,854444,CO
2003-04-01,859048,CO
2003-07-01,882940,CO
2003-10-01,875144,CO
2004-01-01,909544,CO
2004-04-01,927524,CO
2004-07-01,949600,CO
2004-10-01,982764,CO
2005-01-01,997088,CO
2005-04-01,1014248,CO
2005-07-01,1037084,CO
2005-10-01,1056400,CO
2006-01-01,1085120,CO
2006-04-01,1123092,CO
2006-07-01,1110356,CO
2006-10-01,1128644,CO
2007-01-01,1139704,CO
2007-04-01,1161988,CO
2007-07-01,1218376,CO
2007-10-01,1203576,CO
2008-01-01,1236672,CO
2008-04-01,1269492,CO
2008-07-01,1275808,CO
2008-10-01,1311212,CO
2009-01-01,1314264,CO
2009-04-01,1293516,CO
2009-07-01,1311380,CO
2009-10-01,1329812,CO
2010-01-01,1353428,CO
2010-04-01,1384944,CO
2010-07-01,1416368,CO
2010-10-01,1421840,CO
2011-01-01,1408284,CO
2011-04-01,1443372,CO
2011-07-01,1470124,CO
2011-10-01,1496604,CO
2012-01-01,1513424,CO
2012-04-01,1552636,CO
2012-07-01,1535524,CO
2012-10-01,1580076,CO
2013-01-01,1615072,CO
2013-04-01,1612884,CO
2013-07-01,1625152,CO
2013-10-01,1630424,CO
2014-01-01,1683572,CO
2014-04-01,1683556,CO
2014-07-01,1710068,CO
2014-10-01,1702336,CO
2015-01-01,1719788,CO
2015-04-01,1735576,CO
2015-07-01,1756920,CO
2015-10-01,1799128,CO
2016-01-01,1814952,CO
2016-04-01,1856968,CO
2016-07-01,1872824,CO
2016-10-01,1922160,CO
2017-01-01,1920880,CO
2017-04-01,1964656,CO
2017-07-01,1969672,CO
2017-10-01,2017560,CO
2018-01-01,2076220,CO
2018-04-01,2117804,CO
2018-07-01,2125612,CO
2018-10-01,2176916,CO
2019-01-01,2179788,CO
2019-04-01,2217660,CO
2019-07-01,2239752,CO
2019-10-01,2306428,CO
2020-01-01,2427092,CO
2020-04-01,2240748,CO
2020-07-01,2254680,CO
2020-10-01,2417644,CO
2021-01-01,2416020,CO
2021-04-01,2487924,CO
2021-07-01,2632624,CO
2021-10-01,2651052,CO
2022-01-01,2679444,CO
2022-04-01,2739132,CO
2022-07-01,2841788,CO
2022-10-01,2879348,CO
2023-01-01,2910276,CO
2023-04-01,2907420,CO
2023-07-01,2926044,CO
2023-10-01,2963604,CO
2024-01-01,3036958,CO
2024-04-01,3050836,CO
2024-07-01,2947288,CO
2024-10-01,2977796,CO
1998-01-01,1403044,CT
1998-04-01,1417388,CT
1998-07-01,1454020,CT
1998-10-01,1463520,CT
1999-01-01,1503900,CT
1999-04-01,1469372,CT
1999-07-01,1494596,CT
1999-10-01,1545056,CT
2000-01-01,1578688,CT
2000-04-01,1644024,CT
2000-07-01,1686044,CT
2000-10-01,1676352,CT
2001-01-01,1627600,CT
2001-04-01,1757648,CT
2001-07-01,1718836,CT
2001-10-01,1855108,CT
2002-01-01,1841092,CT
2002-04-01,1882660,CT
2002-07-01,1918548,CT
2002-10-01,1959124,CT
2003-01-01,1973648,CT
2003-04-01,2006476,CT
2003-07-01,1995452,CT
2003-10-01,2135708,CT
2004-01-01,2069684,CT
2004-04-01,2137320,CT
2004-07-01,2131916,CT
2004-10-01,2112616,CT
2005-01-01,2119756,CT
2005-04-01,2168372,CT
2005-07-01,2183960,CT
2005-10-01,2191100,CT
2006-01-01,2259564,CT
2006-04-01,2280884,CT
2006-07-01,2339500,CT
2006-10-01,2387936,CT
2007-01-01,2434584,CT
2007-04-01,2474564,CT
2007-07-01,2523372,CT
2007-10-01,2567576,CT
2008-01-01,2616076,CT
2008-04-01,2661488,CT
2008-07-01,2738684,CT
2008-10-01,2826440,CT
2009-01-01,2787784,CT
2009-04-01,2874360,CT
2009-07-01,2907864,CT
2009-10-01,2926080,CT
2010-01-01,2917496,CT
2010-04-01,2975928,CT
2010-07-01,2990300,CT
2010-10-01,3002268,CT
2011-01-01,3048960,CT
2011-04-01,3094056,CT
2011-07-01,3088336,CT
2011-10-01,3147376,CT
2012-01-01,3213220,CT
2012-04-01,3231280,CT
2012-07-01,3293796,CT
2012-10-01,3340340,CT
2013-01-01,3413324,CT
2013-04-01,3435372,CT
2013-07-01,3465820,CT
2013-10-01,3448040,CT
2014-01-01,3562920,CT
2014-04-01,3613644,CT
2014-07-01,3627680,CT
2014-10-01,3655892,CT
2015-01-01,3616568,CT
2015-04-01,3640852,CT
2015-07-01,3663988,CT
2015-10-01,3700468,CT
2016-01-01,3709988,CT
2016-04-01,3775320,CT
2016-07-01,3719756,CT
2016-10-01,3826096,CT
2017-01-01,3863820,CT
2017-04-01,3895244,CT
2017-07-01,3924192,CT
2017-10-01,3931628,CT
2018-01-01,3986428,CT
2018-04-01,4040228,CT
2018-07-01,4085700,CT
2018-10-01,4139252,CT
2019-01-01,4211784,CT
2019-04-01,4264760,CT
2019-07-01,4318472,CT
2019-10-01,4507644,CT
2020-01-01,4439448,CT
2020-04-01,4405896,CT
2020-07-01,4328392,CT
2020-10-01,4432960,CT
2021-01-01,4471996,CT
2021-04-01,4574112,CT
2021-07-01,4709116,CT
2021-10-01,4750932,CT
2022-01-01,4790184,CT
2022-04-01,4859048,CT
2022-07-01,4983664,CT
2022-10-01,5193808,CT
2023-01-01,5258436,CT
2023-04-01,5271360,CT
2023-07-01,5372424,CT
2023-10-01,5459108,CT
2024-01-01,5529241,CT
2024-04-01,5718795,CT
2024-07-01,5809521,CT
2024-10-01,5924425,CT
1998-01-01,110548,DE
1998-04-01,113060,DE
1998-07-01,122012,DE
1998-10-01,121916,DE
1999-01-01,127124,DE
1999-04-01,125804,DE
1999-07-01,124124,DE
1999-10-01,130740,DE
2000-01-01,129056,DE
2000-04-01,133940,DE
2000-07-01,134956,DE
2000-10-01,141104,DE
2001-01-01,144748,DE
2001-04-01,153008,DE
2001-07-01,145536,DE
2001-10-01,155300,DE
2002-01-01,150840,DE
2002-04-01,157736,DE
2002-07-01,179352,DE
2002-10-01,170020,DE
2003-01-01,169880,DE
2003-04-01,178708,DE
2003-07-01,182656,DE
2003-10-01,168504,DE
2004-01-01,180900,DE
2004-04-01,181500,DE
2004-07-01,185072,DE
2004-10-01,212552,DE
2005-01-01,195072,DE
2005-04-01,202340,DE
2005-07-01,199424,DE
2005-10-01,209852,DE
2006-01-01,227528,DE
2006-04-01,220824,DE
2006-07-01,221096,DE
2006-10-01,219288,DE
2007-01-01,220028,DE
2007-04-01,230036,DE
2007-07-01,235480,DE
2007-10-01,233244,DE
2008-01-01,230384,DE
2008-04-01,235216,DE
2008-07-01,238864,DE
2008-10-01,244788,DE
2009-01-01,239748,DE
2009-04-01,243588,DE
2009-07-01,243580,DE
2009-10-01,245352,DE
2010-01-01,236356,DE
2010-04-01,241240,DE
2010-07-01,247384,DE
2010-10-01,244424,DE
2011-01-01,240736,DE
2011-04-01,243148,DE
2011-07-01,247412,DE
2011-10-01,243756,DE
2012-01-01,256132,DE
2012-04-01,253096,DE
2012-07-01,260540,DE
2012-10-01,259720,DE
2013-01-01,256388,DE
2013-04-01,269828,DE
2013-07-01,267016,DE
2013-10-01,261480,DE
2014-01-01,311044,DE
2014-04-01,281024,DE
2014-07-01,275288,DE
2014-10-01,275220,DE
2015-01-01,271700,DE
2015-04-01,270304,DE
2015-07-01,275992,DE
2015-10-01,278460,DE
2016-01-01,275076,DE
2016-04-01,280468,DE
2016-07-01,277200,DE
2016-10-01,281752,DE
2017-01-01,279568,DE
2017-04-01,288284,DE
2017-07-01,282436,DE
2017-10-01,286720,DE
2018-01-01,283464,DE
2018-04-01,291108,DE
2018-07-01,289844,DE
2018-10-01,289812,DE
2019-01-01,287472,DE
2019-04-01,291236,DE
2019-07-01,291916,DE
2019-10-01,297256,DE
2020-01-01,296468,DE
2020-04-01,282344,DE
2020-07-01,286416,DE
2020-10-01,285424,DE
2021-01-01,293388,DE
2021-04-01,290536,DE
2021-07-01,292320,DE
2021-10-01,292544,DE
2022-01-01,296288,DE
2022-04-01,300160,DE
2022-07-01,310452,DE
2022-10-01,315712,DE
2023-01-01,323800,DE
2023-04-01,309652,DE
2023-07-01,318804,DE
2023-10-01,328136,DE
2024-01-01,328755,DE
2024-04-01,334763,DE
2024-07-01,359877,DE
2024-10-01,367269,DE
1998-01-01,1347500,DC
1998-04-01,1139188,DC
1998-07-01,1358724,DC
1998-10-01,1281992,DC
1999-01-01,1230148,DC
1999-04-01,1364584,DC
1999-07-01,1393976,DC
1999-10-01,1396696,DC
2000-01-01,1341172,DC
2000-04-01,1331088,DC
2000-07-01,1285296,DC
2000-10-01,1324064,DC
2001-01-01,1246620,DC
2001-04-01,1302424,DC
2001-07-01,1356248,DC
2001-10-01,1421136,DC
2002-01-01,1430240,DC
2002-04-01,1435772,DC
2002-07-01,1482076,DC
2002-10-01,1549484,DC
2003-01-01,1575388,DC
2003-04-01,1628844,DC
2003-07-01,1659112,DC
2003-10-01,1648624,DC
2004-01-01,1693608,DC
2004-04-01,1726648,DC
2004-07-01,1712676,DC
2004-10-01,1770824,DC
2005-01-01,1719064,DC
2005-04-01,1761208,DC
2005-07-01,1781024,DC
2005-10-01,1760452,DC
2006-01-01,1836892,DC
2006-04-01,1841248,DC
2006-07-01,1889748,DC
2006-10-01,1876460,DC
2007-01-01,1939468,DC
2007-04-01,1924860,DC
2007-07-01,1947620,DC
2007-10-01,2007932,DC
2008-01-01,2066772,DC
2008-04-01,2069064,DC
2008-07-01,2111612,DC
2008-10-01,2143456,DC
2009-01-01,2155040,DC
2009-04-01,2197580,DC
2009-07-01,2241492,DC
2009-10-01,2225572,DC
2010-01-01,2168148,DC
2010-04-01,2231864,DC
2010-07-01,2217644,DC
2010-10-01,2270892,DC
2011-01-01,2296376,DC
2011-04-01,2281592,DC
2011-07-01,2323896,DC
2011-10-01,2331852,DC
2012-01-01,2294844,DC
2012-04-01,2371896,DC
2012-07-01,2426476,DC
2012-10-01,2405256,DC
2013-01-01,2593684,DC
2013-04-01,2642016,DC
2013-07-01,2635064,DC
2013-10-01,2703220,DC
2014-01-01,2702224,DC
2014-04-01,2721688,DC
2014-07-01,2726392,DC
2014-10-01,2755732,DC
2015-01-01,2773856,DC
2015-04-01,2794832,DC
2015-07-01,2827104,DC
2015-10-01,2880812,DC
2016-01-01,2862332,DC
2016-04-01,2953020,DC
2016-07-01,2945256,DC
2016-10-01,2976436,DC
2017-01-01,2975716,DC
2017-04-01,2965948,DC
2017-07-01,3017736,DC
2017-10-01,3046268,DC
2018-01-01,3104816,DC
2018-04-01,3086372,DC
2018-07-01,3120368,DC
2018-10-01,3161480,DC
2019-01-01,3157668,DC
2019-04-01,3158412,DC
2019-07-01,3182284,DC
2019-10-01,3219972,DC
2020-01-01,3271576,DC
2020-04-01,3240552,DC
2020-07-01,3167272,DC
2020-10-01,3212796,DC
2021-01-01,3078024,DC
2021-04-01,3108356,DC
2021-07-01,3182204,DC
2021-10-01,3228032,DC
2022-01-01,3208172,DC
2022-04-01,3260828,DC
2022-07-01,3310412,DC
2022-10-01,3390056,DC
2023-01-01,3407120,DC
2023-04-01,3472404,DC
2023-07-01,3501516,DC
2023-10-01,3620584,DC
2024-01-01,3627151,DC
2024-04-01,3793335,DC
2024-07-01,3814547,DC
2024-10-01,3840817,DC
1998-01-01,1773508,FL
1998-04-01,1674888,FL
1998-07-01,1903784,FL
1998-10-01,1913216,FL
1999-01-01,1946448,FL
1999-04-01,2043952,FL
1999-07-01,2062300,FL
1999-10-01,2107008,FL
2000-01-01,2163836,FL
2000-04-01,2242556,FL
2000-07-01,2283392,FL
2000-10-01,2347968,FL
2001-01-01,2528300,FL
2001-04-01,2583688,FL
2001-07-01,2629840,FL
2001-10-01,2729532,FL
2002-01-01,2849236,FL
2002-04-01,2844740,FL
2002-07-01,2956388,FL
2002-10-01,2994256,FL
2003-01-01,3014024,FL
2003-04-01,3088108,FL
2003-07-01,3186784,FL
2003-10-01,3251528,FL
2004-01-01,3313580,FL
2004-04-01,3396380,FL
2004-07-01,3441872,FL
2004-10-01,3543460,FL
2005-01-01,3563352,FL
2005-04-01,3656828,FL
2005-07-01,3763240,FL
2005-10-01,3734492,FL
2006-01-01,3933352,FL
2006-04-01,3963124,FL
2006-07-01,4051124,FL
2006-10-01,4102452,FL
2007-01-01,4252124,FL
2007-04-01,4364608,FL
2007-07-01,4479392,FL
2007-10-01,4598780,FL
2008-01-01,4678436,FL
2008-04-01,4722280,FL
2008-07-01,4855196,FL
2008-10-01,4910368,FL
2009-01-01,4901728,FL
2009-04-01,4941460,FL
2009-07-01,4996372,FL
2009-10-01,5106072,FL
2010-01-01,5118756,FL
2010-04-01,5199716,FL
2010-07-01,5305620,FL
2010-10-01,5463996,FL
